Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),261,1,(x196),5781517,"+142,078",39519074,"+29,086",2357664173
2,=,Alex Warren - Ordinary,86,2,(x17),5314242,"-246,801",36831962,"+298,418",316836855
3,=,Billie Eilish - BIRDS OF A FEATHER,352,1,(x25),4802011,"-52,595",33636326,"-176,541",2446844198
4,=,ROSÉ - APT. (w/ Bruno Mars),198,1,(x28),4398690,"+201,893",29027352,"-137,529",1531158136
5,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",67,5,,4029799,"-6,014",26909481,"+221,394",204163742
6,+1,Gracie Abrams - That’s So True,198,3,(x7),3463088,"-177,707",25210813,"-268,635",977658356
7,-1,JENNIE - like JENNIE,58,5,,3436271,"-248,854",25072582,"-270,839",217387993
8,=,Kendrick Lamar - luther,163,2,(x20),3371673,"-98,552",24451973,"-321,735",840673817
9,=,Bad Bunny - DtMF,119,1,(x16),3139706,"-38,227",21687152,"-152,944",703119016
10,+1,Benson Boone - Beautiful Things,471,1,(x35),3089772,"-58,642",21745264,"-249,754",2068060642
11,-1,Lola Young - Messy,152,8,,3072131,"-83,528",21330399,"-135,914",542834127
12,=,Sabrina Carpenter - Espresso,387,1,(x32),3029567,"-58,385",20816793,"-83,208",2166754484
13,+7,Lady Gaga - Abracadabra,90,2,(x1),3015788,"+150,998",19747384,"+130,234",325469921
14,=,Gigi Perez - Sailor Song,259,5,,2919541,"-39,160",22212698,"-648,776",924569638
15,+1,Alemán - Te Quería Ver (w/ Neton Vega),88,13,,2895419,"-29,386",20449728,"-213,301",244609894
16,-3,sombr - back to friends,47,11,,2883287,"-183,576",20947577,"+273,264",106414711
17,+1,Jimin - Who,289,1,(x20),2856175,"-47,475",20036942,"+3,185",1530530369
18,-3,Billie Eilish - WILDFLOWER,352,8,,2839352,"-106,046",21007337,"-217,587",1113560843
19,+2,Doechii - Anxiety,60,2,(x6),2756426,"-77,234",19666590,"-301,220",243376782
20,+2,Bad Bunny - BAILE INoLVIDABLE,119,3,(x1),2738710,"+3,159",18495856,"-96,567",536474075
21,-2,WizTheMc - Show Me Love (w/ bees & honey),60,17,,2721370,"-167,095",19015529,"+15,133",137374322
22,-5,sombr - undressed,38,17,,2702602,"-213,073",17495584,"+692,200",70985746
23,+1,Neton Vega - Morena (w/ Peso Pluma),78,23,,2538460,"-113,040",17469256,"-32,936",165147771
24,-1,The Weeknd - Timeless (w/ Playboi Carti),219,2,(x1),2536103,"-131,535",18400144,"-74,616",807843531
25,=,Drake - NOKIA,79,15,,2528921,"-119,482",18297700,"-163,470",212888648
26,+6,NIKI - You'll Be in My Heart - Spotify Singles,42,15,,2503561,"+49,847",18565920,"-239,271",94655257
27,=,Teddy Swims - Lose Control,535,5,,2487709,"-39,397",17218054,"-35,622",1663951521
28,+1,Ravyn Lenae - Love Me Not,46,28,,2480129,"-30,900",16477312,"+494,564",78726104
29,-3,Fuerza Regida - Por Esos Ojos,81,26,,2467918,"-94,197",15180453,"+590,700",160236621
30,=,Kendrick Lamar - All The Stars (w/ SZA),695,2,(x14),2434539,"-62,356",17102567,"-44,160",1239695691
31,-3,"Chappell Roan - Good Luck, Babe!",390,5,,2429637,"-91,021",17065890,"-100,189",1471374037
32,+1,Kendrick Lamar - Not Like Us,363,1,(x10),2354147,"-87,577",16515603,"-101,180",1435436837
33,+2,Chappell Roan - Pink Pony Club,260,18,,2347254,"-1,551",15798990,"-19,552",511400424
34,=,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",574,2,(x2),2310811,"-38,295",16804211,"-132,831",1712414940
35,+1,Bad Bunny - EoO,119,9,,2310711,"-16,116",15747291,"-88,080",351385948
36,+1,KAROL G - Si Antes Te Hubiera Conocido,317,4,,2264338,"-15,817",15006335,"+32,348",1161706146
37,+2,ATLXS - PASSO BEM SOLTO - Slowed,38,35,,2206131,"-56,709",15397701,"-47,450",73042840
38,+3,Alleh - capaz (merengueton) (w/ Yorghaki),133,34,,2197656,"-42,155",14726919,"-92,142",288249910
39,+1,The Goo Goo Dolls - Iris,597,27,,2143691,"-109,377",16143851,"-145,349",978306366
40,+3,Fuerza Regida - ME JALO (w/ Grupo Frontera),128,38,,2126534,"-86,468",14869185,"+163,819",250543676
41,+6,Lord Huron - The Night We Met,1006,15,,2115144,"+6,445",15408204,"+13,487",1782274443
42,+3,Clave Especial - TU TU TU (w/ Edgardo Nuñez),22,42,,2112027,"-73,141",13924769,"+607,808",34086653
43,-5,Tate McRae - Sports car,100,14,,2096105,"-180,373",15574540,"-287,765",283271567
44,+13,The Police - Every Breath You Take,1297,34,,2085715,"+113,523",13851381,"+117,505",1577019528
45,+4,Arctic Monkeys - I Wanna Be Yours,1032,11,,2076515,"-10,365",15219899,"-59,403",2475915927
46,-2,The Marías - No One Noticed,176,32,,2074164,"-119,321",15616078,"+9,674",315858209
47,+3,Hozier - Too Sweet,408,2,(x10),2072066,"-9,286",13546153,"+161,185",1444569307
48,-6,Charli xcx - party 4 u,13,42,,2061521,"-168,271",14663313,"+134,266",24958196
49,+2,Clave Especial - COMO CAPO (w/ Fuerza Regida),33,49,,2050723,"-18,858",13494186,"+388,135",53441150
50,-2,Sabrina Carpenter - Taste,254,2,(x3),2029017,"-64,892",14256050,"-170,145",997025194
51,+2,The Neighbourhood - Sweater Weather,1798,14,,2028127,"-12,500",14516919,"-8,339",3122522241
52,+8,Fourtwnty - Mangu (w/ Charita Utami),14,46,,2026660,"+70,806",13318586,"+489,072",22873470
53,-1,FloyyMenor - Gata Only (w/ Cris Mj),447,2,(x1),1980050,"-77,506",13676084,"+13,686",1548936571
54,+5,Los Dareyes De La Sierra - Vita Fer (w/ Tito Double P),29,49,,1975955,"+16,149",13908540,"+38,901",45779644
55,+7,Shaboozey - A Bar Song (Tipsy),384,5,,1937102,"+42,832",12594440,"+73,148",1225538934
56,-1,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",58,24,,1934660,"-52,550",15320899,"-683,237",113714894
57,+13,Bad Bunny - NUEVAYoL,119,5,,1906163,"+43,901",12850846,"-102,680",433980094
58,-2,"Tyler, The Creator - See You Again (w/ Kali Uchis)",791,13,,1904406,"-80,080",13518639,"+106,660",1560147459
59,+4,Coldplay - Yellow,1587,15,,1883795,"-1,559",13421341,"+71,916",2253163579
60,+16,Lady Gaga - Poker Face,100,60,,1876153,"+60,207",11961241,"+249,031",138451637
61,+10,Coldplay - Viva La Vida,1009,27,,1870757,"+19,426",12890137,"+78,997",1575006533
62,+10,yung kai - blue,154,22,,1870069,"+23,112",13726120,"-87,343",360120004
63,-5,Teddy Swims - Bad Dreams,182,41,,1867022,"-104,830",13103531,"-169,519",325136858
64,-18,Lorde - What Was That,10,5,,1857050,"-322,836",16760753,"-985,927",27250385
65,+9,Neton Vega - M&M,72,53,,1816344,"-3,459",12350340,"+63,977",124698246
66,-5,Kendrick Lamar - tv off (w/ Lefty Gunplay),162,5,,1816208,"-110,167",12903601,"-70,113",517584420
67,-3,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",119,8,,1810133,"-74,016",12495737,"-90,216",342401299
68,-3,Neton Vega - Loco,128,14,,1803856,"-77,626",12796912,"-69,994",328848546
69,+4,Cup of Joe - Multo,29,24,,1781832,"-64,405",13949651,"-304,634",64699526
70,-2,Chrystal - The Days - NOTION Remix (w/ NOTION),118,49,,1753638,"-116,447",12064625,"+131,490",198292745
71,-5,Tito Double P - TATTOO,65,21,,1752407,"-123,332",12791368,"-146,163",141066806
72,+9,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),170,13,,1746209,"-26,879",12122309,"-108,008",432617954
73,+2,Bad Bunny - VOY A LLeVARTE PA PR,119,7,,1742127,"-74,937",11827085,"-112,272",378350695
74,-5,Ed Sheeran - Azizam,26,27,,1740747,"-125,561",12164836,"-16,575",49893493
75,+2,Benson Boone - Sorry I'm Here For Someone Else,52,58,,1733422,"-74,719",12328100,"-128,368",80430665
76,+3,d4vd - Feel It,95,43,,1732090,"-63,399",12902758,"-344,497",159523067
77,+7,Esau Ortiz - Triple Lavada,26,69,,1720298,"-4,652",12189579,"-107,287",42132724
78,-11,Tate McRae - Revolving door,72,18,,1703157,"-168,952",12820086,"-134,440",155460751
