Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga,Die With A Smile,Bruno Mars,250,1,185,5960401,"+285,368",41170852,"-235,540",2294824592
2,=,Alex Warren,Ordinary,,75,2,7,5284203,"+450,444",34144474,"+173,784",258932169
3,=,Billie Eilish,BIRDS OF A FEATHER,,341,1,25,4970926,"+224,861",34051124,"-94,800",2392923203
4,=,ROSÉ,APT.,Bruno Mars,187,1,28,4225286,"-5,985",30947884,"-249,546",1484951151
5,=,Kendrick Lamar,luther,,152,2,20,3874147,"+116,582",26566338,"-174,755",800830857
6,=,JENNIE,like JENNIE,,47,5,,3777664,"+85,130",26233174,"-111,450",177177285
7,=,Gracie Abrams,That’s So True,,187,3,7,3682181,"+135,584",25737497,"-318,322",937040770
8,=,Gigi Perez,Sailor Song,,248,6,,3676946,"+253,385",24304173,"-3,413",887689343
9,=,W Sound,La Plena - W Sound 05,"Beéle, Ovy On The Drums",56,5,,3499950,"+121,553",24348948,"-270,141",162307812
10,+1,Benson Boone,Beautiful Things,,460,1,35,3308397,"+145,280",22843666,"-81,564",2032814186
11,-1,Bad Bunny,DtMF,,108,1,16,3244245,"+57,699",22892385,"-233,095",668269951
12,+1,Billie Eilish,WILDFLOWER,,341,8,,3209764,"+203,511",21550823,"+39,408",1079747702
13,-1,Lola Young,Messy,,141,8,,3197350,"+136,058",22372066,"-107,384",508629897
14,=,Sabrina Carpenter,Espresso,,376,1,32,3103414,"+156,629",21737204,"-171,626",2133668369
15,=,Doechii,Anxiety,,49,2,6,3034565,"+112,060",21339948,"-276,120",211491556
16,=,Jimin,Who,,278,1,20,2992090,"+116,311",19593380,"+367,771",1498977560
17,+1,Lady Gaga,Abracadabra,,79,2,1,2984075,"+144,896",20444903,"-67,519",293970291
18,-1,Alemán,Te Quería Ver,Neton Vega,77,13,,2918175,"+62,714",19976071,"-155,352",211914754
19,=,NIKI,You'll Be in My Heart - Spotify Singles,,31,16,,2865531,"+66,628",19048248,"+47,474",64879421
20,=,The Weeknd,Timeless,Playboi Carti,208,2,1,2819912,"+67,851",19391758,"-143,882",778322804
21,+2,Tate McRae,Sports car,,89,14,,2786427,"+148,195",19212348,"-200,123",256972754
22,+2,sombr,back to friends,,36,22,,2774076,"+181,943",17510022,"+167,305",74217377
23,-2,Bad Bunny,BAILE INoLVIDABLE,,108,3,1,2755031,"+30,471",19502732,"-241,534",506671637
24,-2,Drake,NOKIA,,68,15,,2731982,"+91,716",19455538,"-208,818",183736454
25,+1,WizTheMc,Show Me Love,bees & honey,49,20,,2591012,"+116,189",18526649,"-217,502",107531613
26,-1,The Weeknd,One Of The Girls,"JENNIE, Lily-Rose Depp",563,2,2,2576828,"+83,876",17236958,"-161,078",1685550408
27,+2,Kendrick Lamar,All The Stars,SZA,684,2,14,2574426,"+119,986",17367324,"-36,761",1212418906
28,-1,Chappell Roan,"Good Luck, Babe!",,379,5,,2558608,"+98,990",17293357,"-5,875",1444083215
29,+1,Kendrick Lamar,Not Like Us,,352,1,10,2484693,"+99,534",17501485,"-153,397",1408849719
30,-2,Cup of Joe,Multo,,18,24,,2460227,+963,16601874,"-139,218",41579859
31,+1,Neton Vega,Morena,Peso Pluma,67,24,,2415859,"+103,292",16543153,"-192,761",137566080
32,-1,Teddy Swims,Lose Control,,524,5,,2414764,"+70,080",16902709,"-82,288",1636536616
33,+4,The Goo Goo Dolls,Iris,,586,29,,2407311,"+218,194",15536252,"+69,807",952596268
34,-1,Jombriel,VITAMINA,"DFZM, Jøtta",47,32,,2343680,"+63,228",15713011,"+12,723",88235124
35,=,The Marías,No One Noticed,,165,32,,2332762,"+136,440",15675255,"+63,991",291401471
36,-2,Bad Bunny,EoO,,108,9,,2325168,"+62,477",15768666,"-51,678",325817164
37,-1,Chappell Roan,Pink Pony Club,,249,18,,2303225,"+113,776",16081639,+817,486195301
38,=,Arctic Monkeys,I Wanna Be Yours,,1021,11,,2259306,"+110,632",14930752,"+60,140",2451800004
39,+1,Lord Huron,The Night We Met,,995,15,,2238128,"+127,068",14653568,"+51,915",1757994534
40,-1,Sabrina Carpenter,Taste,,243,2,3,2198643,"+85,312",15152432,"-232,385",974170940
41,=,Alleh,capaz (merengueton),Yorghaki,122,34,,2166155,"+80,704",14995782,"+15,064",264564061
42,+1,ATLXS,PASSO BEM SOLTO - Slowed,,27,40,,2147861,"+105,892",14622274,"-5,289",48740365
43,+3,sombr,undressed,,27,43,,2131268,"+177,936",13259390,"+189,825",44704397
44,+3,yung kai,blue,,143,22,,2099348,"+150,950",14157447,"-91,630",338393760
45,-1,The Neighbourhood,Sweater Weather,,1787,14,,2080236,"+71,683",14445719,"-115,886",3099443475
46,-4,KAROL G,Si Antes Te Hubiera Conocido,,306,4,,2062851,"+11,131",14539219,"-71,471",1138017245
47,+2,The Police,Every Breath You Take,,1286,34,,2019413,"+113,348",13379030,"-28,537",1555088728
48,+2,Kendrick Lamar,tv off,Lefty Gunplay,151,5,,1975366,"+78,666",13731474,"-124,255",496821880
49,-1,Fuerza Regida,ME JALO,Grupo Frontera,117,38,,1927376,"+11,712",13444145,"-93,843",227873119
50,+2,"Tyler, The Creator",See You Again,Kali Uchis,780,13,,1922973,"+62,721",12935420,"+34,829",1539041132
51,+9,d4vd,Feel It,,84,51,,1921791,"+122,410",12840171,"-65,126",138610318
52,+3,Sabrina Carpenter,Please Please Please,,320,1,19,1913421,"+86,787",12962284,"-11,577",1371246299
53,+6,Ravyn Lenae,Love Me Not,,35,53,,1912562,"+109,101",12248872,"+159,110",54167620
